name,category,subcategory,imgSrc,price
20周年記念 ピカチュウ純金製カード,ポケカ,プロモ,https://cdn.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/6160c3f0-2b85-013e-872b-0a58a9feac02/jyunkmin.png,5000000
AmatsuOkamioftheDivinePeaks(2019-EN003),遊戯王,未開封カード,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/d0848730-3669-013e-97f4-0a58a9feac02/AMATSU(%E6%9C%AA%E9%96%8B%E5%B0%81).jpg,30000
Black・Magician,遊戯王,UR,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/87e37700-3709-013e-2346-0a58a9feac02/BM(EN).jpg,1000000
Blueeyes・White・Dragon(AC02-JP000),遊戯王,PSE,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/ca8ab100-3668-013e-97da-0a58a9feac02/BLUE%20EYES(PSE).jpg,14000
Blueeyes・White・Dragon(DDS-001),遊戯王,SE,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/70ea0840-3648-013e-47ce-0a58a9feac02/DDS.jpg,550000
Blueeyes・White・Dragon(懸賞),遊戯王,UR,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/564fdb70-367e-013e-31c4-0a58a9feac02/BLUE%20EYES(%E6%87%B8%E8%B3%9E).jpg,2800000
Doomcaliber Knight(2024-ENP01),遊戯王,未開封カード,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/a349b1b0-366a-013e-9803-0a58a9feac02/%E3%83%87%E3%82%B9%E3%82%AB%E3%83%AA%E3%83%90%E3%83%BC%E3%83%8A%E3%82%A4%E3%83%88(%E6%9C%AA%E9%96%8B%E5%B0%81).jpg,5000
"Dragon of Illumination, Sanctuary's Shield(2025-EN004)",遊戯王,未開封カード,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/19267570-3653-013e-5153-0a58a9feac02/Dragon%20of%20Illumination(%E6%9C%AA%E9%96%8B%E5%B0%81).jpg,40000
Elttaes the MASTER of DUELS(2025-EN003),遊戯王,未開封カード,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/ca89af70-3668-013e-97d7-0a58a9feac02/ELTTAES(%E6%9C%AA%E9%96%8B%E5%B0%81).jpg,5000
EvilTwinキスキル(SLF1-JP079),遊戯王,PSE,https://s3-ap-northeast-1.amazonaws.com/s3.peraichi.com/userData/577d7af7-4e20-4459-b45d-21ac0a00005c/img/71b44650-36dd-013e-e489-0a58a9feac02/%E3%82%AD%E3%82%B9%E3%82%AD%E3%83%AB.jpg,6500
